,build_year,lat,lng,total_building,total_house,wy_fee
2304,2005,0,0,8,644,1.3
2305,2006,106.553186,29.594911,3,762,1.1
2306,2007,106.553186,29.594911,16,5820,1.3
2307,1998,0,0,15,948,1.4
2308,2001,0,0,8,481,1.2
2309,2001,0,0,8,481,1.2
2310,2003,0,0,12,422,1.1
2311,2007,106.553186,29.594911,16,5820,1.3
2312,2002,0,0,19,1157,1.4
2313,2005,0,0,8,644,1.3
2314,1998,0,0,15,948,1.4
2315,2005,0,0,8,644,1.3
2316,2006,106.553186,29.594911,3,762,1.1
2317,2007,106.553186,29.594911,16,5820,1.3
2318,1998,0,0,15,948,1.4
2319,2001,0,0,8,481,1.2
2320,2001,0,0,8,481,1.2
2321,2003,0,0,12,422,1.1
2322,2007,106.553186,29.594911,16,5820,1.3
2323,2002,0,0,19,1157,1.4
2324,2005,0,0,8,644,1.3
2325,1998,0,0,15,948,1.4
2326,2005,0,0,8,644,1.3
2327,2006,106.553186,29.594911,3,762,1.1
2328,2007,106.553186,29.594911,16,5820,1.3
2329,2010,106.553186,29.594911,4,1256,1.4
2330,1998,0,0,15,948,1.4
2331,2001,0,0,8,481,1.2
2332,2001,0,0,8,481,1.2
2333,2003,0,0,12,422,1.1
2334,2007,106.553186,29.594911,16,5820,1.3
2335,2002,0,0,19,1157,1.4
2336,2005,0,0,8,644,1.3
2337,1998,0,0,15,948,1.4
2338,2005,0,0,8,644,1.3
2339,2006,106.553186,29.594911,3,762,1.1
2340,2007,106.553186,29.594911,16,5820,1.3
2341,1998,0,0,15,948,1.4
2342,2001,0,0,8,481,1.2
2343,2001,0,0,8,481,1.2
2344,2003,0,0,12,422,1.1
2345,2007,106.553186,29.594911,16,5820,1.3
2346,2002,0,0,19,1157,1.4
2347,2005,0,0,8,644,1.3
2348,1998,0,0,15,948,1.4
2349,2005,0,0,8,644,1.3
2350,2006,106.553186,29.594911,3,762,1.1
2351,2007,106.553186,29.594911,16,5820,1.3
2352,2008,106.548901,29.577621,23,3374,2.8
2353,2009,106.54233,29.564769,16,2917,2.2
2354,2008,106.548901,29.577621,23,3374,2.8
2355,2008,106.548901,29.577621,23,3374,2.8
2356,2009,106.54233,29.564769,16,2917,2.2
2357,2008,106.548901,29.577621,23,3374,2.8
2358,2009,106.54233,29.564769,16,2917,2.2
2359,2008,106.548901,29.577621,23,3374,2.8
2360,2008,106.548901,29.577621,23,3374,2.8
2361,2009,106.54233,29.564769,16,2917,2.2
2362,2008,106.548901,29.577621,23,3374,2.8
2363,2009,106.54233,29.564769,16,2917,2.2
2364,2008,106.548901,29.577621,23,3374,2.8
2365,2008,106.548901,29.577621,23,3374,2.8
2366,2009,106.54233,29.564769,16,2917,2.2
2367,2008,106.548901,29.577621,23,3374,2.8
2368,2009,106.54233,29.564769,16,2917,2.2
2369,2008,106.548901,29.577621,23,3374,2.8
2370,2008,106.548901,29.577621,23,3374,2.8
2371,2009,106.54233,29.564769,16,2917,2.2
2372,2008,106.548901,29.577621,23,3374,2.8
2373,2009,106.54233,29.564769,16,2917,2.2
2374,2008,106.548901,29.577621,23,3374,2.8
2375,2008,106.548901,29.577621,23,3374,2.8
2376,2009,106.54233,29.564769,16,2917,2.2
2377,2008,106.548901,29.577621,23,3374,2.8
2378,2009,106.54233,29.564769,16,2917,2.2
2379,2008,106.548901,29.577621,23,3374,2.8
2380,2008,106.548901,29.577621,23,3374,2.8
2381,2009,106.54233,29.564769,16,2917,2.2
2382,2008,106.548901,29.577621,23,3374,2.8
2383,2009,106.54233,29.564769,16,2917,2.2
